code,school_rating_mean_1500,school_rating_std_1500,school_count_1500,school_rating_mean_1000,school_rating_std_1000,school_count_1000,school_rating_mean_500,school_rating_std_500,school_count_500,school_min
SW2 5HW,3.2210526315789476,1.9563757346270665,57,2.8208333333333333,2.1276603125962334,24,2.09,2.2990094485330945,10,0.03706292656214842
SW2 5HY,3.251724137931035,1.9531568131105401,58,2.7545454545454544,2.198641847601827,22,2.272727272727273,2.2636655711879836,11,0.08888775101730774
SW2 5HZ,3.1966101694915254,1.9819849073588443,59,2.6476190476190475,2.193540299976056,21,2.272727272727273,2.2636655711879836,11,0.10682558282925553
SW2 5JA,3.0847457627118646,1.991950487485521,59,2.2359999999999998,2.170806301815065,25,2.272727272727273,2.2636655711879836,11,0.2702113329770416
SW2 5JB,3.160344827586207,1.9805138138188187,58,2.6476190476190475,2.193540299976056,21,2.272727272727273,2.2636655711879836,11,0.1381770037213189
SW2 5JD,3.040350877192983,2.0088073619797044,57,2.3454545454545452,2.1648110602098574,22,2.272727272727273,2.2636655711879836,11,0.171636315906123
SW2 5JH,3.106779661016949,2.0060137523834696,59,2.234782608695652,2.1634586568002163,23,2.272727272727273,2.2636655711879836,11,0.21060896052369418
SW2 5JJ,3.0517241379310347,1.9929913494684972,58,2.3125,2.1498862457267864,24,2.09,2.2990094485330945,10,0.2121122926984359
SW2 5JL,3.0847457627118646,1.991950487485521,59,2.3125,2.1498862457267864,24,2.09,2.2990094485330945,10,0.241537615684054
SW2 5JN,3.0847457627118646,1.991950487485521,59,2.1416666666666666,2.164519560442047,24,2.322222222222222,2.3107237923309754,9,0.2857839791884344
SW2 5JP,3.0620689655172413,1.9979662981375956,58,2.5307692307692307,2.1924906806222424,26,2.09,2.2990094485330945,10,0.33928820558396067
SW2 5JR,3.0218181818181815,2.039398141890097,55,2.35,2.1849286129020924,24,1.157142857142857,2.0015470207293347,7,0.34641016628878185
SW2 5JS,3.1203389830508472,2.007295286166914,59,2.2359999999999998,2.170806301815065,25,2.0833333333333335,2.2558341869002425,12,0.26428657602994965
SW2 5JT,3.0218181818181815,2.039398141890097,55,2.2384615384615385,2.117182452804089,26,1.7428571428571427,2.1968592299440752,7,0.26890701029008107
SW2 5JU,3.0339285714285715,2.022804244850948,56,2.1839999999999997,2.1421717951648978,25,2.2222222222222223,2.1970308246459456,9,0.2884351785730013
