code,hospital_rating_mean_1500,hospital_rating_std_1500,hospital_count_1500,hospital_rating_mean_1000,hospital_rating_std_1000,hospital_count_1000,hospital_rating_mean_500,hospital_rating_std_500,hospital_count_500,hospital_min
SW4 6NX,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.23766681979596269
SW4 6PA,1.9999999999999998,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.225,2.5773047937719746,4,0.40120299470550846
SW4 6PB,1.9999999999999998,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.225,2.5773047937719746,4,0.35283858331383333
SW4 6PD,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.225,2.5773047937719746,4,0.3641989878542055
SW4 6PE,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,1.4000000000000001,2.4248711305964283,3,0.3439756701040236
SW4 6PF,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,1.4000000000000001,2.4248711305964283,3,0.3281384440888105
SW4 6PG,1.8692307692307693,1.8843144710055766,13,2.375,2.030306099370944,8,0.0,0.0,2,0.4033185018508285
SW4 6PH,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.225,2.5773047937719746,4,0.320011693205051
SW4 6PJ,1.8461538461538463,1.8764396182732983,13,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.21442285210020878
SW4 6PL,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.23766681979596269
SW4 6PN,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.23766681979596269
SW4 6PP,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.18276171573612948
SW4 6PR,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.2286951710306262
SW4 6PS,1.7705882352941178,1.8075413916015703,17,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.27520071994969125
SW4 6PT,1.9999999999999998,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.30960969137932715
SW4 6PU,1.9999999999999998,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.28344494671928017
SW4 6PW,2.1533333333333333,1.9082028443637995,15,1.885714285714286,1.7966900784763182,7,0.0,0.0,0,0.5860926279289185
SW4 6PY,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.23766681979596269
